Tue Dec  1 20:25:11 2020 Fold 0, Epoch 1, lr: 0.0001000, train loss: 34.66209, valid loss: 33.96920, acc_m: 11.538462, gap_m: 0.077719.
Tue Dec  1 20:38:42 2020 Fold 0, Epoch 2, lr: 0.0000993, train loss: 33.21007, valid loss: 31.89409, acc_m: 16.346154, gap_m: 0.129792.
Tue Dec  1 21:18:40 2020 Fold 0, Epoch 1, lr: 0.0001000, train loss: 34.66209, valid loss: 33.96920, acc_m: 11.538462, gap_m: 0.077719.
Tue Dec  1 21:39:01 2020 Fold 0, Epoch 1, lr: 0.0001000, train loss: 34.66209, valid loss: 33.96920, acc_m: 11.538462, gap_m: 0.077719.
Tue Dec  1 21:52:30 2020 Fold 0, Epoch 2, lr: 0.0000993, train loss: 33.21007, valid loss: 31.89409, acc_m: 16.346154, gap_m: 0.129792.
Tue Dec  1 22:05:59 2020 Fold 0, Epoch 3, lr: 0.0000973, train loss: 31.59825, valid loss: 30.01164, acc_m: 21.153846, gap_m: 0.163783.
Tue Dec  1 22:19:26 2020 Fold 0, Epoch 4, lr: 0.0000940, train loss: 29.79405, valid loss: 28.10766, acc_m: 23.076923, gap_m: 0.183012.
Tue Dec  1 22:32:54 2020 Fold 0, Epoch 5, lr: 0.0000895, train loss: 27.66716, valid loss: 25.90307, acc_m: 27.884615, gap_m: 0.220309.
Tue Dec  1 22:46:23 2020 Fold 0, Epoch 6, lr: 0.0000839, train loss: 25.09788, valid loss: 23.39590, acc_m: 26.923077, gap_m: 0.219786.
Tue Dec  1 22:59:51 2020 Fold 0, Epoch 7, lr: 0.0000773, train loss: 22.10715, valid loss: 20.21717, acc_m: 26.923077, gap_m: 0.235488.
Tue Dec  1 23:13:20 2020 Fold 0, Epoch 8, lr: 0.0000701, train loss: 18.76435, valid loss: 16.82024, acc_m: 23.076923, gap_m: 0.208078.
Tue Dec  1 23:26:48 2020 Fold 0, Epoch 9, lr: 0.0000623, train loss: 15.33712, valid loss: 13.50987, acc_m: 22.115385, gap_m: 0.202550.
Tue Dec  1 23:40:17 2020 Fold 0, Epoch 10, lr: 0.0000541, train loss: 13.92075, valid loss: 14.59982, acc_m: 21.153846, gap_m: 0.195956.
Tue Dec  1 23:53:43 2020 Fold 0, Epoch 11, lr: 0.0000459, train loss: 15.18764, valid loss: 14.87772, acc_m: 21.153846, gap_m: 0.193685.
Wed Dec  2 00:07:10 2020 Fold 0, Epoch 12, lr: 0.0000377, train loss: 15.37968, valid loss: 14.92114, acc_m: 21.153846, gap_m: 0.196370.
Wed Dec  2 00:20:39 2020 Fold 0, Epoch 13, lr: 0.0000299, train loss: 15.41719, valid loss: 15.05401, acc_m: 21.153846, gap_m: 0.193331.
Wed Dec  2 00:34:07 2020 Fold 0, Epoch 14, lr: 0.0000227, train loss: 15.40540, valid loss: 14.74544, acc_m: 23.076923, gap_m: 0.205028.
Wed Dec  2 00:47:35 2020 Fold 0, Epoch 15, lr: 0.0000161, train loss: 15.39396, valid loss: 14.94982, acc_m: 22.115385, gap_m: 0.193810.
Wed Dec  2 01:01:04 2020 Fold 0, Epoch 16, lr: 0.0000105, train loss: 15.38174, valid loss: 14.77443, acc_m: 23.076923, gap_m: 0.201996.
Wed Dec  2 01:14:33 2020 Fold 0, Epoch 17, lr: 0.0000060, train loss: 15.36734, valid loss: 14.84261, acc_m: 22.115385, gap_m: 0.198423.
Wed Dec  2 01:28:00 2020 Fold 0, Epoch 18, lr: 0.0000027, train loss: 15.36764, valid loss: 14.81074, acc_m: 22.115385, gap_m: 0.201131.
Wed Dec  2 01:41:28 2020 Fold 0, Epoch 19, lr: 0.0000007, train loss: 15.35763, valid loss: 14.71590, acc_m: 23.076923, gap_m: 0.204659.
Wed Dec  2 01:54:56 2020 Fold 0, Epoch 20, lr: 0.0001000, train loss: 15.36616, valid loss: 14.93292, acc_m: 24.038462, gap_m: 0.212546.
